NOC,Year,LSTM_Gold_Trend,LSTM_Total_Trend,LSTM_Host_Logit,Gold,Total,Is_Host,Is_Prep,Alpha,Is_History
United States,1908,29.452743530273438,73.24779510498047,-3.7112250328063965,23.0,47.0,0.0,0.0,0.0,True
United States,1912,26.892274856567383,68.34571075439453,-3.4536221027374268,26.0,64.0,0.0,0.0,0.0,True
United States,1920,31.32703399658203,77.08802032470703,-3.1587741374969482,41.0,95.0,0.0,0.0,0.0,True
United States,1924,34.595394134521484,84.1225814819336,-2.9503448009490967,45.0,99.0,0.0,0.0,0.0,True
United States,1928,34.82036590576172,84.4740219116211,-3.0515966415405273,22.0,56.0,0.0,0.0,0.0,True
United States,1932,29.028263092041016,73.01934814453125,-3.5253443717956543,0.0,0.0,0.0,0.0,0.0,True
United States,1936,17.693103790283203,45.14096450805664,-3.833993434906006,24.0,57.0,0.0,0.0,0.0,True
United States,1948,24.63018226623535,60.0633430480957,-3.4080638885498047,38.0,84.0,0.0,0.0,0.0,True
United States,1952,32.832191467285156,79.35475158691406,-2.8593788146972656,40.0,76.0,0.0,0.0,0.0,True
United States,1956,32.01863479614258,78.59610748291016,-3.280318260192871,32.0,74.0,0.0,0.0,0.0,True
United States,1960,30.14826011657715,75.21528625488281,-3.3819055557250977,0.0,0.0,0.0,0.0,0.0,True
United States,1964,33.44043731689453,80.35816192626953,-3.245028018951416,36.0,90.0,0.0,0.0,0.0,True
United States,1968,24.079910278320312,58.68046188354492,-3.671461820602417,45.0,107.0,0.0,0.0,0.0,True
United States,1972,33.34788513183594,80.61190032958984,-3.067627191543579,33.0,94.0,0.0,0.0,0.0,True
United States,1976,31.603452682495117,78.13484191894531,-3.348874092102051,34.0,94.0,0.0,0.0,0.0,True
United States,1980,31.498855590820312,77.90010833740234,-3.3013901710510254,0.0,0.0,0.0,0.0,0.0,True
United States,1984,35.695152282714844,85.14691162109375,-3.040046215057373,83.0,174.0,0.0,0.0,0.0,True
United States,1988,25.37165641784668,62.14360809326172,-4.0429582595825195,36.0,94.0,0.0,0.0,0.0,True
United States,1992,33.84093475341797,82.2276382446289,-3.126633882522583,37.0,108.0,0.0,0.0,0.0,True
United States,1996,33.97235107421875,82.8546371459961,-3.1563022136688232,44.0,101.0,0.0,0.0,0.0,True
United States,2000,34.837677001953125,84.48944854736328,-3.057952642440796,37.0,93.0,0.0,0.0,0.0,True
United States,2004,32.60820770263672,79.89134979248047,-3.2756571769714355,36.0,101.0,0.0,0.0,0.0,True
