NOC,Year,LSTM_Gold_Trend,LSTM_Total_Trend,LSTM_Host_Logit,Gold_feat,Total_feat,Is_Host,Is_Prep,Alpha,Is_History,NOC_Code,PC1,PC2,PC3,PC4,PC5,Gold_target,Total_target,Gold_Actual,Total_Actual
United States,1908,29.45274353027344,73.24779510498047,-3.711225032806397,23.0,47.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,23.0,47.0,23.0,47.0
United States,1912,26.892274856567383,68.34571075439453,-3.4536221027374268,26.0,64.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,26.0,64.0,26.0,64.0
United States,1920,31.32703399658203,77.08802032470703,-3.158774137496948,41.0,95.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,41.0,95.0,41.0,95.0
United States,1924,34.595394134521484,84.1225814819336,-2.9503448009490967,45.0,99.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,45.0,99.0,45.0,99.0
United States,1928,34.82036590576172,84.4740219116211,-3.051596641540528,22.0,56.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,22.0,56.0,22.0,56.0
United States,1932,29.028263092041016,73.01934814453125,-3.5253443717956543,0.0,0.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,,,0.0,0.0
United States,1936,17.693103790283203,45.14096450805664,-3.833993434906006,24.0,57.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,24.0,57.0,24.0,57.0
United States,1948,24.63018226623535,60.0633430480957,-3.4080638885498047,38.0,84.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,38.0,84.0,38.0,84.0
United States,1952,32.83219146728516,79.35475158691406,-2.8593788146972656,40.0,76.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,40.0,76.0,40.0,76.0
United States,1956,32.01863479614258,78.59610748291016,-3.280318260192871,32.0,74.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,32.0,74.0,32.0,74.0
United States,1960,30.14826011657715,75.21528625488281,-3.3819055557250977,0.0,0.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,,,0.0,0.0
United States,1964,33.44043731689453,80.35816192626953,-3.245028018951416,36.0,90.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,36.0,90.0,36.0,90.0
United States,1968,24.079910278320312,58.68046188354492,-3.671461820602417,45.0,107.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,45.0,107.0,45.0,107.0
United States,1972,33.34788513183594,80.61190032958984,-3.067627191543579,33.0,94.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,33.0,94.0,33.0,94.0
United States,1976,31.60345268249512,78.13484191894531,-3.348874092102051,34.0,94.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,34.0,94.0,34.0,94.0
United States,1980,31.498855590820312,77.90010833740234,-3.3013901710510254,0.0,0.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,,,0.0,0.0
United States,1984,35.695152282714844,85.14691162109375,-3.040046215057373,83.0,174.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,83.0,174.0,83.0,174.0
United States,1988,25.37165641784668,62.14360809326172,-4.04295825958252,36.0,94.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,36.0,94.0,36.0,94.0
United States,1992,33.84093475341797,82.2276382446289,-3.126633882522583,37.0,108.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,37.0,108.0,37.0,108.0
United States,1996,33.97235107421875,82.8546371459961,-3.1563022136688232,44.0,101.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,44.0,101.0,44.0,101.0
United States,2000,34.837677001953125,84.48944854736328,-3.057952642440796,37.0,93.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,37.0,93.0,37.0,93.0
United States,2004,32.60820770263672,79.89134979248047,-3.2756571769714355,36.0,101.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,36.0,101.0,36.0,101.0
United States,2008,32.93146896362305,80.66229248046875,-3.263611316680908,36.0,112.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,36.0,112.0,36.0,112.0
United States,2012,33.84492492675781,82.73727416992188,-3.146250009536743,48.0,104.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,48.0,104.0,48.0,104.0
United States,2016,35.42844772338867,85.7985610961914,-2.971923589706421,46.0,121.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,46.0,121.0,46.0,121.0
United States,2020,35.81391525268555,86.57845306396484,-2.932403087615967,39.0,113.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,39.0,113.0,39.0,113.0
United States,2024,35.095359802246094,85.12667846679688,-3.0283641815185547,40.0,126.0,0.0,0.0,0.0,True,USA,15.54881928244548,-1.4482344463449135,-8.833392041810638,-1.6378870141153024,-8.270463995157465,40.0,126.0,40.0,126.0
Greece,1908,0.5334904789924622,3.936649799346924,-4.324624061584473,0.0,4.0,0.0,0.0,3.571428571428572,True,GRE,-1.257085828845141,-0.1812885165103391,0.0660637793961073,-0.0596470150719371,0.0139567998417787,0.0,4.0,0.0,4.0
Greece,1912,1.1948540210723877,4.682820796966553,-4.525196075439453,1.0,2.0,0.0,0.0,3.571428571428572,True,GRE,-1.257085828845141,-0.1812885165103391,0.0660637793961073,-0.0596470150719371,0.0139567998417787,1.0,2.0,1.0,2.0
Greece,1920,1.2167565822601318,4.757326602935791,-4.638960838317871,0.0,1.0,0.0,0.0,3.571428571428572,True,GRE,-1.257085828845141,-0.1812885165103391,0.0660637793961073,-0.0596470150719371,0.0139567998417787,0.0,1.0,0.0,1.0
Greece,1924,1.045112133026123,4.197227954864502,-5.105783462524414,0.0,0.0,0.0,0.0,3.571428571428572,True,GRE,-1.257085828845141,-0.1812885165103391,0.0660637793961073,-0.0596470150719371,0.0139567998417787,,,0.0,0.0
Greece,1928,0.8382997512817383,2.945779800415039,-6.421619415283203,0.0,0.0,0.0,0.0,3.571428571428572,True,GRE,-1.257085828845141,-0.1812885165103391,0.0660637793961073,-0.0596470150719371,0.0139567998417787,,,0.0,0.0
Greece,1932,0.5889666080474854,2.555022716522217,-6.469841003417969,0.0,0.0,0.0,0.0,3.571428571428572,True,GRE,-1.257085828845141,-0.1812885165103391,0.0660637793961073,-0.0596470150719371,0.0139567998417787,,,0.0,0.0
Greece,1936,0.6316680908203125,2.5678141117095947,-6.462825775146484,0.0,0.0,0.0,0.0,3.571428571428572,True,GRE,-1.257085828845141,-0.1812885165103391,0.0660637793961073,-0.0596470150719371,0.0139567998417787,,,0.0,0.0
Greece,1948,0.6316680908203125,2.5678141117095947,-6.462825775146484,0.0,0.0,0.0,0.0,3.571428571428572,True,GRE,-1.257085828845141,-0.1812885165103391,0.0660637793961073,-0.0596470150719371,0.0139567998417787,,,0.0,0.0
Greece,1952,0.6316680908203125,2.5678141117095947,-6.462825775146484,0.0,0.0,0.0,0.0,3.571428571428572,True,GRE,-1.257085828845141,-0.1812885165103391,0.0660637793961073,-0.0596470150719371,0.0139567998417787,,,0.0,0.0
Greece,1956,0.6316680908203125,2.5678141117095947,-6.462825775146484,0.0,1.0,0.0,0.0,3.571428571428572,True,GRE,-1.257085828845141,-0.1812885165103391,0.0660637793961073,-0.0596470150719371,0.0139567998417787,0.0,1.0,0.0,1.0
Greece,1960,0.5869139432907104,2.8351259231567383,-5.898963928222656,0.0,0.0,0.0,0.0,3.571428571428572,True,GRE,-1.257085828845141,-0.1812885165103391,0.0660637793961073,-0.0596470150719371,0.0139567998417787,,,0.0,0.0
Greece,1964,0.7288762331008911,2.6895906925201416,-6.441951274871826,0.0,0.0,0.0,0.0,3.571428571428572,True,GRE,-1.257085828845141,-0.1812885165103391,0.0660637793961073,-0.0596470150719371,0.0139567998417787,,,0.0,0.0
Greece,1968,0.5889666080474854,2.555022716522217,-6.469841003417969,0.0,1.0,0.0,0.0,3.571428571428572,True,GRE,-1.257085828845141,-0.1812885165103391,0.0660637793961073,-0.0596470150719371,0.0139567998417787,0.0,1.0,0.0,1.0
Greece,1972,0.5869139432907104,2.8351259231567383,-5.898963928222656,0.0,2.0,0.0,0.0,3.571428571428572,True,GRE,-1.257085828845141,-0.1812885165103391,0.0660637793961073,-0.0596470150719371,0.0139567998417787,0.0,2.0,0.0,2.0
